98, buộc
21, xương_rồng
18, kiếng
29, sâu_thẳm
7, thứt
248, muỗi
957, thức
16, cỗ_bàn
12, hiền_hòa
181, ý_kiến
7, buớc
5, nâng_đỡ
8, đúng_ra
9, chọc_tức
728, muộn
52, muội
222, thừa
42, vệ_sinh
6, thiếu_gia
14, san_sẻ
6, phi_tiêu
381, máy_tính
6, nô_đùa
6, thửa
9, cửa_kính
32, nặng_trĩu
50, nhiêu
7, thiên_vị
34, nhiên
6, thề_thốt
6, ký_tên
5, trẻ_hóa
15, ngủ_đông
20, chú_thích
6, hư_ảo
7, xuynh
101, vấp_ngã
17, lắc_đầu
5, máu_nóng
8, khỏi_phải_nói
25, xèng
7, hãnh_diện
5, trúng_tuyển
14, mèng
62, tượng
89, thực
26, buồn_thiu
6, thuờng
9, chậm_chạp
30, giận_dỗi
9, bóp_cổ
30, vương_vấn
119, tử_tế
36, nóng_nực
13, tông_môn
13, sông_nước
5, liều_mạng
49, chiêu
44, chiên
30, rèn_luyện
444, vâng
16, quái_vật
129, năm_tháng
11, tầm_mắt
23, bé_bỏng
5, thể_thống
5, kết_duyên
35, xô_đẩy
41, tư_thế
5, qtrong
173, thể_thao
6, xạ_thủ
3458, sống
10, thuộc_lòng
13, kín_đáo
7, bóc_lột
23, hừ_hừ
430, quyết_tâm
8, sỉ_nhục
14, chi_tiêu
18, líu_lo
5, thao_trường
5, thể_theo
619, mưa_gió
5, hoáy
19, thừa_nhận
8, khôn_nguôi
114, công_tác
6, soài
11, ký_túc
384, hoài
10, xơ_xác
61, hoàn
7, kháng_chiến
152, thiên_hạ
9, nhân_sâm
43, hệ_thống
5, hoàg
33, hoãn
9, đại_loại
17, bản_năng
97, soái
23, thu_nhập
8, đường_hầm
5, lúi_húi
14, tá_túc
18, vinh_dự
536, lâu_lâu
20, xa_vắng
17, bếch
10, bạc_đầu
36, giới_tính
69, sự_đời
50, ăn_mặc
299, trở_thành
28, bệnh_nhân
10, hắt_hủi
5, cuồn_cuộn
6, tiếng_là
5, vũ_phu
8, vô_sản
24, vui_sướng
31, avata
39, vợ_con
10, cảm_ứng
30, quốc_phòng
9, tối_tối
6, xưng_hô
18, ôm_ấp
198, hình_ảnh
8, nhễ_nhại
8, phá_đám
11, nam_nhi
28, cuốn_trôi
5, che_phủ
12, an_lạc
8, ảo_thuật
5, bất_tín
20, tiếng_nói
1055, tại_sao
12, phần_lớn
16, tkật
258, hay_sao
20, bù_đắp
8, rời_rạc
95, nhạt_nhẽo
10, nhóc_con
35, ra_lò
8, dân_gian
8, tan_tầm
39, lợi_ích
36, thân_thiết
